faixa_hp,pokemon_id,nome,hp,ataque,defesa,velocidade
Alto,618,Stunfisk,109,66,84,32
Alto,630,Mandibuzz,110,65,105,80
Alto,646,Kyurem,125,130,90,95
Alto,673,Gogoat,123,100,62,68
Alto,683,Aromatisse,101,72,72,29
Alto,699,Aurorus,123,77,72,58
Alto,716,Xerneas,126,131,95,99
Alto,717,Yveltal,126,131,95,99
Alto,718,"Zygarde50% Forme",108,100,121,95
Baixo,1,Bulbasaur,45,49,49,45
Baixo,4,Charmander,39,52,43,65
Baixo,7,Squirtle,44,48,65,43
Baixo,10,Caterpie,45,30,35,45
Baixo,11,Metapod,50,20,55,30
Baixo,13,Weedle,40,35,30,50
Baixo,14,Kakuna,45,25,50,35
Baixo,16,Pidgey,40,45,40,56
Baixo,19,Rattata,30,56,35,72
Baixo,21,Spearow,40,60,30,70
Baixo,23,Ekans,35,60,44,55
Baixo,25,Pikachu,35,55,40,90
Baixo,27,Sandshrew,50,75,85,40
Baixo,32,Nidoranâ™‚,46,57,40,50
Baixo,37,Vulpix,38,41,40,65
Baixo,41,Zubat,40,45,35,55
Baixo,43,Oddish,45,50,55,30
Baixo,46,Paras,35,70,55,25
Baixo,50,Diglett,10,55,25,95
Baixo,51,Dugtrio,35,80,50,120
Baixo,52,Meowth,40,45,35,90
Baixo,54,Psyduck,50,52,48,55
Baixo,56,Mankey,40,80,35,70
Baixo,60,Poliwag,40,50,40,90
Baixo,63,Abra,25,20,15,90
Baixo,64,Kadabra,40,35,30,105
Baixo,69,Bellsprout,50,75,35,40
Baixo,72,Tentacool,40,40,35,70
Baixo,74,Geodude,40,80,100,20
Baixo,77,Ponyta,50,85,55,90
Baixo,81,Magnemite,25,35,70,45
Baixo,82,Magneton,50,60,95,70
Baixo,84,Doduo,35,85,45,75
Baixo,90,Shellder,30,65,100,40
Baixo,91,Cloyster,50,95,180,70
Baixo,92,Gastly,30,35,30,80
Baixo,93,Haunter,45,50,45,95
Baixo,95,Onix,35,45,160,70
Baixo,98,Krabby,30,105,90,50
Baixo,100,Voltorb,40,30,50,100
Baixo,104,Cubone,50,50,95,35
Baixo,106,Hitmonlee,50,120,53,87
Baixo,107,Hitmonchan,50,105,79,76
Baixo,109,Koffing,40,65,95,35
Baixo,116,Horsea,30,40,70,60
Baixo,118,Goldeen,45,67,60,63
Baixo,120,Staryu,30,45,55,85
Baixo,122,"Mr. Mime",40,45,65,90
Baixo,129,Magikarp,20,10,55,80
Baixo,132,Ditto,48,48,48,48
Baixo,138,Omanyte,35,40,100,35
Baixo,140,Kabuto,30,80,90,55
Baixo,147,Dratini,41,64,45,50
Baixo,152,Chikorita,45,49,65,45
Baixo,155,Cyndaquil,39,52,43,65
Baixo,158,Totodile,50,65,64,43
Baixo,161,Sentret,35,46,34,20
Baixo,165,Ledyba,40,20,30,55
Baixo,167,Spinarak,40,60,40,30
Baixo,172,Pichu,20,40,15,60
Baixo,173,Cleffa,50,25,28,15
Baixo,175,Togepi,35,20,65,20
Baixo,177,Natu,40,50,45,70
Baixo,187,Hoppip,35,35,40,50
Baixo,191,Sunkern,30,30,30,30
Baixo,201,Unown,48,72,48,48
Baixo,204,Pineco,50,65,90,15
Baixo,213,Shuckle,20,10,230,5
Baixo,218,Slugma,40,40,40,20
Baixo,219,Magcargo,50,50,120,30
Baixo,220,Swinub,50,50,40,50
Baixo,223,Remoraid,35,65,35,65
Baixo,225,Delibird,45,55,45,75
Baixo,228,Houndour,45,60,30,65
Baixo,236,Tyrogue,35,35,35,35
Baixo,237,Hitmontop,50,95,95,70
Baixo,238,Smoochum,45,30,15,65
Baixo,239,Elekid,45,63,37,95
Baixo,240,Magby,45,75,37,83
Baixo,246,Larvitar,50,64,50,41
Baixo,252,Treecko,40,45,35,70
Baixo,253,Grovyle,50,65,45,95
Baixo,255,Torchic,45,60,40,45
Baixo,258,Mudkip,50,70,50,40
Baixo,261,Poochyena,35,55,35,35
Baixo,263,Zigzagoon,38,30,41,60
Baixo,265,Wurmple,45,45,35,20
Baixo,266,Silcoon,50,35,55,15
Baixo,268,Cascoon,50,35,55,15
Baixo,270,Lotad,40,30,30,30
Baixo,273,Seedot,40,40,50,30
Baixo,276,Taillow,40,55,30,85
Baixo,278,Wingull,40,30,30,85
Baixo,280,Ralts,28,25,25,40
Baixo,281,Kirlia,38,35,35,50
Baixo,283,Surskit,40,30,32,65
Baixo,290,Nincada,31,45,90,40
Baixo,292,Shedinja,1,90,45,40
Baixo,298,Azurill,50,20,40,20
Baixo,299,Nosepass,30,45,135,30
Baixo,300,Skitty,50,45,45,50
Baixo,302,Sableye,50,75,75,50
Baixo,303,Mawile,50,85,85,50
Baixo,304,Aron,50,70,100,30
Baixo,307,Meditite,30,40,55,60
Baixo,309,Electrike,40,45,40,65
Baixo,315,Roselia,50,60,45,65
Baixo,318,Carvanha,45,90,20,65
Baixo,328,Trapinch,45,100,45,10
Baixo,329,Vibrava,50,70,50,70
Baixo,331,Cacnea,50,85,40,35
Baixo,333,Swablu,45,40,60,50
Baixo,339,Barboach,50,48,43,60
Baixo,341,Corphish,43,80,65,35
Baixo,343,Baltoy,40,40,55,55
Baixo,347,Anorith,45,95,50,75
Baixo,349,Feebas,20,15,20,80
Baixo,353,Shuppet,44,75,35,45
Baixo,355,Duskull,20,40,90,25
Baixo,356,Dusclops,40,70,130,25
Baixo,361,Snorunt,50,50,50,50
Baixo,366,Clamperl,35,64,85,32
Baixo,370,Luvdisc,43,30,55,97
Baixo,371,Bagon,45,75,60,50
Baixo,374,Beldum,40,55,80,30
Baixo,386,"DeoxysNormal Forme",50,150,50,150
Baixo,390,Chimchar,44,58,44,61
Baixo,396,Starly,40,55,30,60
Baixo,401,Kricketot,37,25,41,25
Baixo,403,Shinx,45,65,34,45
Baixo,406,Budew,40,30,35,55
Baixo,410,Shieldon,30,42,118,30
Baixo,412,Burmy,40,29,45,36
Baixo,415,Combee,30,30,42,70
Baixo,420,Cherubi,45,35,45,35
Baixo,431,Glameow,49,55,42,85
Baixo,433,Chingling,45,30,50,45
Baixo,438,Bonsly,50,80,95,10
Baixo,439,"Mime Jr.",20,25,45,60
Baixo,442,Spiritomb,50,92,108,35
Baixo,447,Riolu,40,70,40,60
Baixo,451,Skorupi,40,50,90,65
Baixo,453,Croagunk,48,61,40,50
Baixo,456,Finneon,49,49,56,66
Baixo,458,Mantyke,45,20,50,50
Baixo,477,Dusknoir,45,100,135,45
Baixo,479,Rotom,50,50,77,91
Baixo,495,Snivy,45,45,55,63
Baixo,504,Patrat,45,55,39,42
Baixo,506,Lillipup,45,60,45,55
Baixo,509,Purrloin,41,50,37,66
Baixo,511,Pansage,50,53,48,64
Baixo,513,Pansear,50,53,48,64
Baixo,515,Panpour,50,53,48,64
Baixo,519,Pidove,50,55,50,43
Baixo,522,Blitzle,45,60,32,76
Baixo,535,Tympole,50,50,40,64
Baixo,540,Sewaddle,45,53,70,42
Baixo,543,Venipede,30,45,59,57
Baixo,544,Whirlipede,40,55,99,47
Baixo,546,Cottonee,40,27,60,66
Baixo,548,Petilil,45,35,50,30
Baixo,551,Sandile,50,72,35,65
Baixo,557,Dwebble,50,65,85,55
Baixo,559,Scraggy,50,75,70,48
Baixo,562,Yamask,38,30,85,30
Baixo,568,Trubbish,50,50,62,65
Baixo,570,Zorua,40,65,40,65
Baixo,574,Gothita,45,30,50,45
Baixo,577,Solosis,45,30,40,20
Baixo,582,Vanillite,36,50,50,44
Baixo,588,Karrablast,50,75,45,60
Baixo,595,Joltik,50,47,50,65
Baixo,597,Ferroseed,44,50,91,10
Baixo,599,Klink,40,55,70,30
Baixo,602,Tynamo,35,55,40,60
Baixo,607,Litwick,50,30,55,20
Baixo,610,Axew,46,87,60,57
Baixo,616,Shelmet,50,40,85,25
Baixo,619,Mienfoo,45,85,50,65
Baixo,624,Pawniard,45,85,70,60
Baixo,653,Fennekin,40,45,40,60
Baixo,656,Froakie,41,56,40,71
Baixo,659,Bunnelby,38,36,38,57
Baixo,661,Fletchling,45,50,43,62
Baixo,664,Scatterbug,38,35,40,35
Baixo,665,Spewpa,45,22,60,29
Baixo,669,FlabÃ©bÃ©,44,38,39,42
Baixo,679,Honedge,45,80,100,28
Baixo,688,Binacle,42,52,67,50
Baixo,690,Skrelp,50,60,60,30
Baixo,692,Clauncher,50,53,62,44
Baixo,694,Helioptile,44,38,33,70
Baixo,703,Carbink,50,50,150,50
Baixo,704,Goomy,45,50,35,40
Baixo,708,Phantump,43,70,48,38
Baixo,710,"PumpkabooAverage Size",49,66,70,51
Baixo,714,Noibat,40,30,35,55
Baixo,719,Diancie,50,100,150,50
Médio,2,Ivysaur,60,62,63,60
Médio,3,Venusaur,80,82,83,80
Médio,5,Charmeleon,58,64,58,80
Médio,6,Charizard,78,84,78,100
Médio,8,Wartortle,59,63,80,58
Médio,9,Blastoise,79,83,100,78
Médio,12,Butterfree,60,45,50,70
Médio,15,Beedrill,65,90,40,75
Médio,17,Pidgeotto,63,60,55,71
Médio,18,Pidgeot,83,80,75,101
Médio,20,Raticate,55,81,60,97
Médio,22,Fearow,65,90,65,100
Médio,24,Arbok,60,85,69,80
Médio,26,Raichu,60,90,55,110
Médio,28,Sandslash,75,100,110,65
Médio,29,Nidoranâ™€,55,47,52,41
Médio,30,Nidorina,70,62,67,56
Médio,31,Nidoqueen,90,92,87,76
Médio,33,Nidorino,61,72,57,65
Médio,34,Nidoking,81,102,77,85
Médio,35,Clefairy,70,45,48,35
Médio,36,Clefable,95,70,73,60
Médio,38,Ninetales,73,76,75,100
Médio,42,Golbat,75,80,70,90
Médio,44,Gloom,60,65,70,40
Médio,45,Vileplume,75,80,85,50
Médio,47,Parasect,60,95,80,30
Médio,48,Venonat,60,55,50,45
Médio,49,Venomoth,70,65,60,90
Médio,53,Persian,65,70,60,115
Médio,55,Golduck,80,82,78,85
Médio,57,Primeape,65,105,60,95
Médio,58,Growlithe,55,70,45,60
Médio,59,Arcanine,90,110,80,95
Médio,61,Poliwhirl,65,65,65,90
Médio,62,Poliwrath,90,95,95,70
Médio,65,Alakazam,55,50,45,120
Médio,66,Machop,70,80,50,35
Médio,67,Machoke,80,100,70,45
Médio,68,Machamp,90,130,80,55
Médio,70,Weepinbell,65,90,50,55
Médio,71,Victreebel,80,105,65,70
Médio,73,Tentacruel,80,70,65,100
Médio,75,Graveler,55,95,115,35
Médio,76,Golem,80,120,130,45
Médio,78,Rapidash,65,100,70,105
Médio,79,Slowpoke,90,65,65,15
Médio,80,Slowbro,95,75,110,30
Médio,83,Farfetch'd,52,65,55,60
Médio,85,Dodrio,60,110,70,100
Médio,86,Seel,65,45,55,45
Médio,87,Dewgong,90,70,80,70
Médio,88,Grimer,80,80,50,25
Médio,94,Gengar,60,65,60,110
Médio,96,Drowzee,60,48,45,42
Médio,97,Hypno,85,73,70,67
Médio,99,Kingler,55,130,115,75
Médio,101,Electrode,60,50,70,140
Médio,102,Exeggcute,60,40,80,40
Médio,103,Exeggutor,95,95,85,55
Médio,105,Marowak,60,80,110,45
Médio,108,Lickitung,90,55,75,30
Médio,110,Weezing,65,90,120,60
Médio,111,Rhyhorn,80,85,95,25
Médio,114,Tangela,65,55,115,60
Médio,117,Seadra,55,65,95,85
Médio,119,Seaking,80,92,65,68
Médio,121,Starmie,60,75,85,115
Médio,123,Scyther,70,110,80,105
Médio,124,Jynx,65,50,35,95
Médio,125,Electabuzz,65,83,57,105
Médio,126,Magmar,65,95,57,93
Médio,127,Pinsir,65,125,100,85
Médio,128,Tauros,75,100,95,110
Médio,130,Gyarados,95,125,79,81
Médio,133,Eevee,55,55,50,55
Médio,135,Jolteon,65,65,60,130
Médio,136,Flareon,65,130,60,65
Médio,137,Porygon,65,60,70,40
Médio,139,Omastar,70,60,125,55
Médio,141,Kabutops,60,115,105,80
Médio,142,Aerodactyl,80,105,65,130
Médio,144,Articuno,90,85,100,85
Médio,145,Zapdos,90,90,85,100
Médio,146,Moltres,90,100,90,90
Médio,148,Dragonair,61,84,65,70
Médio,149,Dragonite,91,134,95,80
Médio,151,Mew,100,100,100,100
Médio,153,Bayleef,60,62,80,60
Médio,154,Meganium,80,82,100,80
Médio,156,Quilava,58,64,58,80
Médio,157,Typhlosion,78,84,78,100
Médio,159,Croconaw,65,80,80,58
Médio,160,Feraligatr,85,105,100,78
Médio,162,Furret,85,76,64,90
Médio,163,Hoothoot,60,30,30,50
Médio,164,Noctowl,100,50,50,70
Médio,166,Ledian,55,35,50,85
Médio,168,Ariados,70,90,70,40
Médio,169,Crobat,85,90,80,130
Médio,170,Chinchou,75,38,38,67
Médio,174,Igglybuff,90,30,15,15
Médio,176,Togetic,55,40,85,40
Médio,178,Xatu,65,75,70,95
Médio,179,Mareep,55,40,40,35
Médio,180,Flaaffy,70,55,55,45
Médio,181,Ampharos,90,75,85,55
Médio,182,Bellossom,75,80,95,50
Médio,183,Marill,70,20,50,40
Médio,184,Azumarill,100,50,80,50
Médio,185,Sudowoodo,70,100,115,30
Médio,186,Politoed,90,75,75,70
Médio,188,Skiploom,55,45,50,80
Médio,189,Jumpluff,75,55,70,110
Médio,190,Aipom,55,70,55,85
Médio,192,Sunflora,75,75,55,30
Médio,193,Yanma,65,65,45,95
Médio,194,Wooper,55,45,45,15
Médio,195,Quagsire,95,85,85,35
Médio,196,Espeon,65,65,60,110
Médio,197,Umbreon,95,65,110,65
Médio,198,Murkrow,60,85,42,91
Médio,199,Slowking,95,75,80,30
Médio,200,Misdreavus,60,60,60,85
Médio,203,Girafarig,70,80,65,85
Médio,205,Forretress,75,90,140,40
Médio,206,Dunsparce,100,70,70,45
Médio,207,Gligar,65,75,105,85
Médio,208,Steelix,75,85,200,30
Médio,209,Snubbull,60,80,50,30
Médio,210,Granbull,90,120,75,45
Médio,211,Qwilfish,65,95,75,85
Médio,212,Scizor,70,130,100,65
Médio,214,Heracross,80,125,75,85
Médio,215,Sneasel,55,95,55,115
Médio,216,Teddiursa,60,80,50,40
Médio,217,Ursaring,90,130,75,55
Médio,221,Piloswine,100,100,80,50
Médio,222,Corsola,55,55,85,35
Médio,224,Octillery,75,105,75,45
Médio,226,Mantine,65,40,70,70
Médio,227,Skarmory,65,80,140,70
Médio,229,Houndoom,75,90,50,95
Médio,230,Kingdra,75,95,95,85
Médio,231,Phanpy,90,60,60,40
Médio,232,Donphan,90,120,120,50
Médio,233,Porygon2,85,80,90,60
Médio,234,Stantler,73,95,62,85
Médio,235,Smeargle,55,20,35,75
Médio,241,Miltank,95,80,105,100
Médio,243,Raikou,90,85,75,115
Médio,245,Suicune,100,75,115,85
Médio,247,Pupitar,70,84,70,51
Médio,248,Tyranitar,100,134,110,61
Médio,251,Celebi,100,100,100,100
Médio,254,Sceptile,70,85,65,120
Médio,256,Combusken,60,85,60,55
Médio,257,Blaziken,80,120,70,80
Médio,259,Marshtomp,70,85,70,50
Médio,260,Swampert,100,110,90,60
Médio,262,Mightyena,70,90,70,70
Médio,264,Linoone,78,70,61,100
Médio,267,Beautifly,60,70,50,65
Médio,269,Dustox,60,50,70,65
Médio,271,Lombre,60,50,50,50
Médio,272,Ludicolo,80,70,70,70
Médio,274,Nuzleaf,70,70,40,60
Médio,275,Shiftry,90,100,60,80
Médio,277,Swellow,60,85,60,125
Médio,279,Pelipper,60,50,100,65
Médio,282,Gardevoir,68,65,65,80
Médio,284,Masquerain,70,60,62,60
Médio,285,Shroomish,60,40,60,35
Médio,286,Breloom,60,130,80,70
Médio,287,Slakoth,60,60,60,30
Médio,288,Vigoroth,80,80,80,90
Médio,291,Ninjask,61,90,45,160
Médio,293,Whismur,64,51,23,28
Médio,294,Loudred,84,71,43,48
Médio,296,Makuhita,72,60,30,25
Médio,301,Delcatty,70,65,65,70
Médio,305,Lairon,60,90,140,40
Médio,306,Aggron,70,110,180,50
Médio,308,Medicham,60,60,75,80
Médio,310,Manectric,70,75,60,105
Médio,311,Plusle,60,50,40,95
Médio,312,Minun,60,40,50,95
Médio,313,Volbeat,65,73,55,85
Médio,314,Illumise,65,47,55,85
Médio,316,Gulpin,70,43,53,40
Médio,317,Swalot,100,73,83,55
Médio,319,Sharpedo,70,120,40,95
Médio,322,Numel,60,60,40,35
Médio,323,Camerupt,70,100,70,40
Médio,324,Torkoal,70,85,140,20
Médio,325,Spoink,60,25,35,60
Médio,326,Grumpig,80,45,65,80
Médio,327,Spinda,60,60,60,60
Médio,330,Flygon,80,100,80,100
Médio,332,Cacturne,70,115,60,55
Médio,334,Altaria,75,70,90,80
Médio,335,Zangoose,73,115,60,90
Médio,336,Seviper,73,100,60,65
Médio,337,Lunatone,70,55,65,70
Médio,338,Solrock,70,95,85,70
Médio,342,Crawdaunt,63,120,85,55
Médio,344,Claydol,60,70,105,75
Médio,345,Lileep,66,41,77,23
Médio,346,Cradily,86,81,97,43
Médio,348,Armaldo,75,125,100,45
Médio,350,Milotic,95,60,79,81
Médio,351,Castform,70,70,70,70
Médio,352,Kecleon,60,90,70,40
Médio,354,Banette,64,115,65,65
Médio,357,Tropius,99,68,83,51
Médio,358,Chimecho,65,50,70,65
Médio,359,Absol,65,130,60,75
Médio,360,Wynaut,95,23,48,23
Médio,362,Glalie,80,80,80,80
Médio,363,Spheal,70,40,50,25
Médio,364,Sealeo,90,60,70,45
Médio,367,Huntail,55,104,105,52
Médio,368,Gorebyss,55,84,105,52
Médio,369,Relicanth,100,90,130,55
Médio,372,Shelgon,65,95,100,50
Médio,373,Salamence,95,135,80,100
Médio,375,Metang,60,75,100,50
Médio,376,Metagross,80,135,130,70
Médio,377,Regirock,80,100,200,50
Médio,378,Regice,80,50,100,50
Médio,379,Registeel,80,75,150,50
Médio,380,Latias,80,80,90,110
Médio,381,Latios,80,90,80,110
Médio,382,Kyogre,100,100,90,90
Médio,383,Groudon,100,150,140,90
Médio,385,Jirachi,100,100,100,100
Médio,387,Turtwig,55,68,64,31
Médio,388,Grotle,75,89,85,36
Médio,389,Torterra,95,109,105,56
Médio,391,Monferno,64,78,52,81
Médio,392,Infernape,76,104,71,108
Médio,393,Piplup,53,51,53,40
Médio,394,Prinplup,64,66,68,50
Médio,395,Empoleon,84,86,88,60
Médio,397,Staravia,55,75,50,80
Médio,398,Staraptor,85,120,70,100
Médio,399,Bidoof,59,45,40,31
Médio,400,Bibarel,79,85,60,71
Médio,402,Kricketune,77,85,51,65
Médio,404,Luxio,60,85,49,60
Médio,405,Luxray,80,120,79,70
Médio,407,Roserade,60,70,65,90
Médio,408,Cranidos,67,125,40,58
Médio,409,Rampardos,97,165,60,58
Médio,411,Bastiodon,60,52,168,30
Médio,413,"WormadamPlant Cloak",60,59,85,36
Médio,414,Mothim,70,94,50,66
Médio,416,Vespiquen,70,80,102,40
Médio,417,Pachirisu,60,45,70,95
Médio,418,Buizel,55,65,35,85
Médio,419,Floatzel,85,105,55,115
Médio,421,Cherrim,70,60,70,85
Médio,422,Shellos,76,48,48,34
Médio,424,Ambipom,75,100,66,115
Médio,425,Drifloon,90,50,34,70
Médio,427,Buneary,55,66,44,85
Médio,428,Lopunny,65,76,84,105
Médio,429,Mismagius,60,60,60,105
Médio,430,Honchkrow,100,125,52,71
Médio,432,Purugly,71,82,64,112
Médio,434,Stunky,63,63,47,74
Médio,436,Bronzor,57,24,86,23
Médio,437,Bronzong,67,89,116,33
Médio,440,Happiny,100,5,5,30
Médio,441,Chatot,76,65,45,91
Médio,443,Gible,58,70,45,42
Médio,444,Gabite,68,90,65,82
Médio,448,Lucario,70,110,70,90
Médio,449,Hippopotas,68,72,78,32
Médio,452,Drapion,70,90,110,95
Médio,454,Toxicroak,83,106,65,85
Médio,455,Carnivine,74,100,72,46
Médio,457,Lumineon,69,69,76,91
Médio,459,Snover,60,62,50,40
Médio,460,Abomasnow,90,92,75,60
Médio,461,Weavile,70,120,65,125
Médio,462,Magnezone,70,70,115,60
Médio,465,Tangrowth,100,100,125,50
Médio,466,Electivire,75,123,67,95
Médio,467,Magmortar,75,95,67,83
Médio,468,Togekiss,85,50,95,80
Médio,469,Yanmega,86,76,86,95
Médio,470,Leafeon,65,110,130,95
Médio,471,Glaceon,65,60,110,65
Médio,472,Gliscor,75,95,125,95
Médio,474,Porygon-Z,85,80,70,90
Médio,475,Gallade,68,125,65,80
Médio,476,Probopass,60,55,145,40
Médio,478,Froslass,70,80,70,110
Médio,480,Uxie,75,75,130,95
Médio,481,Mesprit,80,105,105,80
Médio,482,Azelf,75,125,70,115
Médio,483,Dialga,100,120,120,90
Médio,484,Palkia,90,120,100,100
Médio,485,Heatran,91,90,106,77
Médio,489,Phione,80,80,80,80
Médio,490,Manaphy,100,100,100,100
Médio,491,Darkrai,70,90,90,125
Médio,492,"ShayminLand Forme",100,100,100,100
Médio,494,Victini,100,100,100,100
Médio,496,Servine,60,60,75,83
Médio,497,Serperior,75,75,95,113
Médio,498,Tepig,65,63,45,45
Médio,499,Pignite,90,93,55,55
Médio,501,Oshawott,55,55,45,45
Médio,502,Dewott,75,75,60,60
Médio,503,Samurott,95,100,85,70
Médio,505,Watchog,60,85,69,77
Médio,507,Herdier,65,80,65,60
Médio,508,Stoutland,85,110,90,80
Médio,510,Liepard,64,88,50,106
Médio,512,Simisage,75,98,63,101
Médio,514,Simisear,75,98,63,101
Médio,516,Simipour,75,98,63,101
Médio,517,Munna,76,25,45,24
Médio,520,Tranquill,62,77,62,65
Médio,521,Unfezant,80,115,80,93
Médio,523,Zebstrika,75,100,63,116
Médio,524,Roggenrola,55,75,85,15
Médio,525,Boldore,70,105,105,20
Médio,526,Gigalith,85,135,130,25
Médio,527,Woobat,55,45,43,72
Médio,528,Swoobat,67,57,55,114
Médio,529,Drilbur,60,85,40,68
Médio,532,Timburr,75,80,55,35
Médio,533,Gurdurr,85,105,85,40
Médio,536,Palpitoad,75,65,55,69
Médio,539,Sawk,75,125,75,85
Médio,541,Swadloon,55,63,90,42
Médio,542,Leavanny,75,103,80,92
Médio,545,Scolipede,60,100,89,112
Médio,547,Whimsicott,60,67,85,116
Médio,549,Lilligant,70,60,75,90
Médio,550,Basculin,70,92,65,98
Médio,552,Krokorok,60,82,45,74
Médio,553,Krookodile,95,117,80,92
Médio,554,Darumaka,70,90,45,50
Médio,556,Maractus,75,86,67,60
Médio,558,Crustle,70,95,125,45
Médio,560,Scrafty,65,90,115,58
Médio,561,Sigilyph,72,58,80,97
Médio,563,Cofagrigus,58,50,145,30
Médio,564,Tirtouga,54,78,103,22
Médio,565,Carracosta,74,108,133,32
Médio,566,Archen,55,112,45,70
Médio,567,Archeops,75,140,65,110
Médio,569,Garbodor,80,95,82,75
Médio,571,Zoroark,60,105,60,105
Médio,572,Minccino,55,50,40,75
Médio,573,Cinccino,75,95,60,115
Médio,575,Gothorita,60,45,70,55
Médio,576,Gothitelle,70,55,95,65
Médio,578,Duosion,65,40,50,30
Médio,580,Ducklett,62,44,50,55
Médio,581,Swanna,75,87,63,98
Médio,583,Vanillish,51,65,65,59
Médio,584,Vanilluxe,71,95,85,79
Médio,585,Deerling,60,60,50,75
Médio,586,Sawsbuck,80,100,70,95
Médio,587,Emolga,55,75,60,103
Médio,589,Escavalier,70,135,105,20
Médio,590,Foongus,69,55,45,15
Médio,592,Frillish,55,40,50,40
Médio,593,Jellicent,100,60,70,60
Médio,596,Galvantula,70,77,60,108
Médio,598,Ferrothorn,74,94,131,20
Médio,600,Klang,60,80,95,50
Médio,601,Klinklang,60,100,115,90
Médio,603,Eelektrik,65,85,70,40
Médio,604,Eelektross,85,115,80,50
Médio,605,Elgyem,55,55,55,30
Médio,606,Beheeyem,75,75,75,40
Médio,608,Lampent,60,40,60,55
Médio,609,Chandelure,60,55,90,80
Médio,611,Fraxure,66,117,70,67
Médio,612,Haxorus,76,147,90,97
Médio,613,Cubchoo,55,70,40,40
Médio,614,Beartic,95,110,80,50
Médio,615,Cryogonal,70,50,30,105
Médio,617,Accelgor,80,70,40,145
Médio,620,Mienshao,65,125,60,105
Médio,621,Druddigon,77,120,90,48
Médio,622,Golett,59,74,50,35
Médio,623,Golurk,89,124,80,55
Médio,625,Bisharp,65,125,100,70
Médio,626,Bouffalant,95,110,95,55
Médio,627,Rufflet,70,83,50,60
Médio,628,Braviary,100,123,75,80
Médio,629,Vullaby,70,55,75,60
Médio,631,Heatmor,85,97,66,65
Médio,632,Durant,58,109,112,109
Médio,633,Deino,52,65,50,38
Médio,634,Zweilous,72,85,70,58
Médio,635,Hydreigon,92,105,90,98
Médio,636,Larvesta,55,85,55,60
Médio,637,Volcarona,85,60,65,100
Médio,638,Cobalion,91,90,129,108
Médio,639,Terrakion,91,129,90,108
Médio,640,Virizion,91,90,72,108
Médio,641,"TornadusIncarnate Forme",79,115,70,111
Médio,642,"ThundurusIncarnate Forme",79,115,70,111
Médio,643,Reshiram,100,120,100,90
Médio,644,Zekrom,100,150,120,90
Médio,645,"LandorusIncarnate Forme",89,125,90,101
Médio,647,"KeldeoOrdinary Forme",91,72,90,108
Médio,648,"MeloettaAria Forme",100,77,77,90
Médio,649,Genesect,71,120,95,99
Médio,650,Chespin,56,61,65,38
Médio,651,Quilladin,61,78,95,57
Médio,652,Chesnaught,88,107,122,64
Médio,654,Braixen,59,59,58,73
Médio,655,Delphox,75,69,72,104
Médio,657,Frogadier,54,63,52,97
Médio,658,Greninja,72,95,67,122
Médio,660,Diggersby,85,56,77,78
Médio,662,Fletchinder,62,73,55,84
Médio,663,Talonflame,78,81,71,126
Médio,666,Vivillon,80,52,50,89
Médio,667,Litleo,62,50,58,72
Médio,668,Pyroar,86,68,72,106
Médio,670,Floette,54,45,47,52
Médio,671,Florges,78,65,68,75
Médio,672,Skiddo,66,65,48,52
Médio,674,Pancham,67,82,62,43
Médio,675,Pangoro,95,124,78,58
Médio,676,Furfrou,75,80,60,102
