pokemon_id,nome,hp,ataque,defesa,velocidade
425,Drifloon,90,50,34,70
426,Drifblim,150,80,44,80
427,Buneary,55,66,44,85
428,Lopunny,65,76,84,105
429,Mismagius,60,60,60,105
430,Honchkrow,100,125,52,71
431,Glameow,49,55,42,85
432,Purugly,71,82,64,112
433,Chingling,45,30,50,45
434,Stunky,63,63,47,74
435,Skuntank,103,93,67,84
436,Bronzor,57,24,86,23
437,Bronzong,67,89,116,33
438,Bonsly,50,80,95,10
439,"Mime Jr.",20,25,45,60
440,Happiny,100,5,5,30
441,Chatot,76,65,45,91
442,Spiritomb,50,92,108,35
443,Gible,58,70,45,42
444,Gabite,68,90,65,82
445,Garchomp,108,130,95,102
446,Munchlax,135,85,40,5
447,Riolu,40,70,40,60
448,Lucario,70,110,70,90
449,Hippopotas,68,72,78,32
450,Hippowdon,108,112,118,47
451,Skorupi,40,50,90,65
452,Drapion,70,90,110,95
453,Croagunk,48,61,40,50
454,Toxicroak,83,106,65,85
455,Carnivine,74,100,72,46
456,Finneon,49,49,56,66
457,Lumineon,69,69,76,91
458,Mantyke,45,20,50,50
459,Snover,60,62,50,40
460,Abomasnow,90,92,75,60
461,Weavile,70,120,65,125
462,Magnezone,70,70,115,60
463,Lickilicky,110,85,95,50
464,Rhyperior,115,140,130,40
465,Tangrowth,100,100,125,50
466,Electivire,75,123,67,95
467,Magmortar,75,95,67,83
468,Togekiss,85,50,95,80
469,Yanmega,86,76,86,95
470,Leafeon,65,110,130,95
471,Glaceon,65,60,110,65
472,Gliscor,75,95,125,95
473,Mamoswine,110,130,80,80
474,Porygon-Z,85,80,70,90
475,Gallade,68,125,65,80
476,Probopass,60,55,145,40
477,Dusknoir,45,100,135,45
478,Froslass,70,80,70,110
479,Rotom,50,50,77,91
480,Uxie,75,75,130,95
481,Mesprit,80,105,105,80
482,Azelf,75,125,70,115
483,Dialga,100,120,120,90
484,Palkia,90,120,100,100
485,Heatran,91,90,106,77
486,Regigigas,110,160,110,100
487,"GiratinaAltered Forme",150,100,120,90
488,Cresselia,120,70,120,85
489,Phione,80,80,80,80
490,Manaphy,100,100,100,100
491,Darkrai,70,90,90,125
492,"ShayminLand Forme",100,100,100,100
493,Arceus,120,120,120,120
494,Victini,100,100,100,100
495,Snivy,45,45,55,63
496,Servine,60,60,75,83
497,Serperior,75,75,95,113
498,Tepig,65,63,45,45
499,Pignite,90,93,55,55
500,Emboar,110,123,65,65
501,Oshawott,55,55,45,45
502,Dewott,75,75,60,60
503,Samurott,95,100,85,70
504,Patrat,45,55,39,42
505,Watchog,60,85,69,77
506,Lillipup,45,60,45,55
507,Herdier,65,80,65,60
508,Stoutland,85,110,90,80
509,Purrloin,41,50,37,66
510,Liepard,64,88,50,106
511,Pansage,50,53,48,64
512,Simisage,75,98,63,101
513,Pansear,50,53,48,64
514,Simisear,75,98,63,101
515,Panpour,50,53,48,64
516,Simipour,75,98,63,101
517,Munna,76,25,45,24
518,Musharna,116,55,85,29
519,Pidove,50,55,50,43
520,Tranquill,62,77,62,65
521,Unfezant,80,115,80,93
522,Blitzle,45,60,32,76
523,Zebstrika,75,100,63,116
524,Roggenrola,55,75,85,15
525,Boldore,70,105,105,20
526,Gigalith,85,135,130,25
527,Woobat,55,45,43,72
528,Swoobat,67,57,55,114
529,Drilbur,60,85,40,68
530,Excadrill,110,135,60,88
531,Audino,103,60,86,50
532,Timburr,75,80,55,35
533,Gurdurr,85,105,85,40
534,Conkeldurr,105,140,95,45
535,Tympole,50,50,40,64
536,Palpitoad,75,65,55,69
537,Seismitoad,105,95,75,74
538,Throh,120,100,85,45
539,Sawk,75,125,75,85
540,Sewaddle,45,53,70,42
541,Swadloon,55,63,90,42
542,Leavanny,75,103,80,92
543,Venipede,30,45,59,57
544,Whirlipede,40,55,99,47
545,Scolipede,60,100,89,112
546,Cottonee,40,27,60,66
547,Whimsicott,60,67,85,116
548,Petilil,45,35,50,30
549,Lilligant,70,60,75,90
550,Basculin,70,92,65,98
551,Sandile,50,72,35,65
552,Krokorok,60,82,45,74
553,Krookodile,95,117,80,92
554,Darumaka,70,90,45,50
555,"DarmanitanStandard Mode",105,140,55,95
556,Maractus,75,86,67,60
557,Dwebble,50,65,85,55
558,Crustle,70,95,125,45
559,Scraggy,50,75,70,48
560,Scrafty,65,90,115,58
561,Sigilyph,72,58,80,97
562,Yamask,38,30,85,30
563,Cofagrigus,58,50,145,30
564,Tirtouga,54,78,103,22
565,Carracosta,74,108,133,32
566,Archen,55,112,45,70
567,Archeops,75,140,65,110
568,Trubbish,50,50,62,65
569,Garbodor,80,95,82,75
570,Zorua,40,65,40,65
571,Zoroark,60,105,60,105
572,Minccino,55,50,40,75
573,Cinccino,75,95,60,115
574,Gothita,45,30,50,45
575,Gothorita,60,45,70,55
576,Gothitelle,70,55,95,65
577,Solosis,45,30,40,20
578,Duosion,65,40,50,30
579,Reuniclus,110,65,75,30
580,Ducklett,62,44,50,55
581,Swanna,75,87,63,98
582,Vanillite,36,50,50,44
583,Vanillish,51,65,65,59
584,Vanilluxe,71,95,85,79
585,Deerling,60,60,50,75
586,Sawsbuck,80,100,70,95
587,Emolga,55,75,60,103
588,Karrablast,50,75,45,60
589,Escavalier,70,135,105,20
590,Foongus,69,55,45,15
591,Amoonguss,114,85,70,30
592,Frillish,55,40,50,40
593,Jellicent,100,60,70,60
594,Alomomola,165,75,80,65
595,Joltik,50,47,50,65
596,Galvantula,70,77,60,108
597,Ferroseed,44,50,91,10
598,Ferrothorn,74,94,131,20
599,Klink,40,55,70,30
600,Klang,60,80,95,50
601,Klinklang,60,100,115,90
602,Tynamo,35,55,40,60
603,Eelektrik,65,85,70,40
604,Eelektross,85,115,80,50
605,Elgyem,55,55,55,30
606,Beheeyem,75,75,75,40
607,Litwick,50,30,55,20
608,Lampent,60,40,60,55
609,Chandelure,60,55,90,80
610,Axew,46,87,60,57
611,Fraxure,66,117,70,67
612,Haxorus,76,147,90,97
613,Cubchoo,55,70,40,40
614,Beartic,95,110,80,50
615,Cryogonal,70,50,30,105
616,Shelmet,50,40,85,25
617,Accelgor,80,70,40,145
618,Stunfisk,109,66,84,32
619,Mienfoo,45,85,50,65
620,Mienshao,65,125,60,105
621,Druddigon,77,120,90,48
622,Golett,59,74,50,35
623,Golurk,89,124,80,55
624,Pawniard,45,85,70,60
625,Bisharp,65,125,100,70
626,Bouffalant,95,110,95,55
627,Rufflet,70,83,50,60
628,Braviary,100,123,75,80
629,Vullaby,70,55,75,60
630,Mandibuzz,110,65,105,80
631,Heatmor,85,97,66,65
632,Durant,58,109,112,109
633,Deino,52,65,50,38
634,Zweilous,72,85,70,58
635,Hydreigon,92,105,90,98
636,Larvesta,55,85,55,60
637,Volcarona,85,60,65,100
638,Cobalion,91,90,129,108
639,Terrakion,91,129,90,108
640,Virizion,91,90,72,108
641,"TornadusIncarnate Forme",79,115,70,111
642,"ThundurusIncarnate Forme",79,115,70,111
643,Reshiram,100,120,100,90
644,Zekrom,100,150,120,90
645,"LandorusIncarnate Forme",89,125,90,101
646,Kyurem,125,130,90,95
647,"KeldeoOrdinary Forme",91,72,90,108
648,"MeloettaAria Forme",100,77,77,90
649,Genesect,71,120,95,99
650,Chespin,56,61,65,38
651,Quilladin,61,78,95,57
652,Chesnaught,88,107,122,64
653,Fennekin,40,45,40,60
654,Braixen,59,59,58,73
655,Delphox,75,69,72,104
656,Froakie,41,56,40,71
657,Frogadier,54,63,52,97
658,Greninja,72,95,67,122
659,Bunnelby,38,36,38,57
660,Diggersby,85,56,77,78
661,Fletchling,45,50,43,62
662,Fletchinder,62,73,55,84
663,Talonflame,78,81,71,126
664,Scatterbug,38,35,40,35
665,Spewpa,45,22,60,29
666,Vivillon,80,52,50,89
667,Litleo,62,50,58,72
668,Pyroar,86,68,72,106
669,Flab̩b̩,44,38,39,42
670,Floette,54,45,47,52
671,Florges,78,65,68,75
672,Skiddo,66,65,48,52
673,Gogoat,123,100,62,68
674,Pancham,67,82,62,43
675,Pangoro,95,124,78,58
676,Furfrou,75,80,60,102
677,Espurr,62,48,54,68
678,MeowsticMale,74,48,76,104
679,Honedge,45,80,100,28
680,Doublade,59,110,150,35
681,"AegislashBlade Forme",60,150,50,60
682,Spritzee,78,52,60,23
683,Aromatisse,101,72,72,29
684,Swirlix,62,48,66,49
685,Slurpuff,82,80,86,72
686,Inkay,53,54,53,45
687,Malamar,86,92,88,73
688,Binacle,42,52,67,50
689,Barbaracle,72,105,115,68
690,Skrelp,50,60,60,30
691,Dragalge,65,75,90,44
692,Clauncher,50,53,62,44
693,Clawitzer,71,73,88,59
694,Helioptile,44,38,33,70
695,Heliolisk,62,55,52,109
696,Tyrunt,58,89,77,48
697,Tyrantrum,82,121,119,71
698,Amaura,77,59,50,46
699,Aurorus,123,77,72,58
700,Sylveon,95,65,65,60
701,Hawlucha,78,92,75,118
702,Dedenne,67,58,57,101
703,Carbink,50,50,150,50
704,Goomy,45,50,35,40
705,Sliggoo,68,75,53,60
706,Goodra,90,100,70,80
707,Klefki,57,80,91,75
708,Phantump,43,70,48,38
709,Trevenant,85,110,76,56
710,"PumpkabooAverage Size",49,66,70,51
711,"GourgeistAverage Size",65,90,122,84
712,Bergmite,55,69,85,28
713,Avalugg,95,117,184,28
714,Noibat,40,30,35,55
715,Noivern,85,70,80,123
716,Xerneas,126,131,95,99
717,Yveltal,126,131,95,99
718,"Zygarde50% Forme",108,100,121,95
719,Diancie,50,100,150,50
720,"HoopaHoopa Confined",80,110,60,70
721,Volcanion,80,110,120,70
